"","alcohol"
"1",5.02607387823764
"2",5.06544985430524
"3",5.10657462737306
"4",5.05340623798256
"5",4.96727712688881
"6",5.00391187661335
"7",5.08387615274351
"8",5.09278358489027
"9",5.06843085683636
"10",5.02600292302899
"11",5.20245226134212
"12",5.0699942073397
"13",5.11545186298877
"14",5.06185786377449
"15",5.03562416688628
"16",5.00709609098175
"17",5.05684174651478
"18",5.10018723212862
"19",5.05563918928181
"20",4.96199905962243
"21",5.1569736693182
"22",5.05057429787545
"23",5.06656676344401
"24",5.12215758606748
"25",5.08683973028146
